country_code,country_name,region,forecast_year,horizon,predicted_enrollment,lower_bound,upper_bound,model_version,scenario
1A,Arab World,Other,2025,5,97809888,89985097,105634679,v1.2.0,baseline
1A,Arab World,Other,2026,5,100016800,92015456,108018144,v1.2.0,baseline
1A,Arab World,Other,2027,5,100016800,92015456,108018144,v1.2.0,baseline
1A,Arab World,Other,2028,5,94392328,86840942,101943714,v1.2.0,baseline
1A,Arab World,Other,2029,5,92286840,84903893,99669787,v1.2.0,baseline
1A,Arab World,Other,2025,10,97809888,89985097,105634679,v1.2.0,baseline
1A,Arab World,Other,2026,10,100016800,92015456,108018144,v1.2.0,baseline
1A,Arab World,Other,2027,10,100016800,92015456,108018144,v1.2.0,baseline
1A,Arab World,Other,2028,10,94392328,86840942,101943714,v1.2.0,baseline
1A,Arab World,Other,2029,10,92286840,84903893,99669787,v1.2.0,baseline
1A,Arab World,Other,2030,10,92286840,84903893,99669787,v1.2.0,baseline
1A,Arab World,Other,2031,10,97809888,89985097,105634679,v1.2.0,baseline
1A,Arab World,Other,2032,10,98594784,90707201,106482367,v1.2.0,baseline
1A,Arab World,Other,2033,10,98594784,90707201,106482367,v1.2.0,baseline
1A,Arab World,Other,2034,10,94392328,86840942,101943714,v1.2.0,baseline
1A,Arab World,Other,2025,15,97809888,89985097,105634679,v1.2.0,baseline
1A,Arab World,Other,2026,15,100016800,92015456,108018144,v1.2.0,baseline
1A,Arab World,Other,2027,15,100016800,92015456,108018144,v1.2.0,baseline
1A,Arab World,Other,2028,15,94392328,86840942,101943714,v1.2.0,baseline
1A,Arab World,Other,2029,15,92286840,84903893,99669787,v1.2.0,baseline
1A,Arab World,Other,2030,15,92286840,84903893,99669787,v1.2.0,baseline
1A,Arab World,Other,2031,15,97809888,89985097,105634679,v1.2.0,baseline
1A,Arab World,Other,2032,15,98594784,90707201,106482367,v1.2.0,baseline
1A,Arab World,Other,2033,15,98594784,90707201,106482367,v1.2.0,baseline
1A,Arab World,Other,2034,15,94392328,86840942,101943714,v1.2.0,baseline
1A,Arab World,Other,2035,15,92286840,84903893,99669787,v1.2.0,baseline
1A,Arab World,Other,2036,15,92286840,84903893,99669787,v1.2.0,baseline
1A,Arab World,Other,2037,15,97809888,89985097,105634679,v1.2.0,baseline
1A,Arab World,Other,2038,15,98594784,90707201,106482367,v1.2.0,baseline
1A,Arab World,Other,2039,15,98594784,90707201,106482367,v1.2.0,baseline
1A,Arab World,Other,2025,5,97809888,89985097,105634679,v1.2.0,optimistic
1A,Arab World,Other,2026,5,100016800,92015456,108018144,v1.2.0,optimistic
1A,Arab World,Other,2027,5,100016800,92015456,108018144,v1.2.0,optimistic
1A,Arab World,Other,2028,5,94392328,86840942,101943714,v1.2.0,optimistic
1A,Arab World,Other,2029,5,92216576,84839250,99593902,v1.2.0,optimistic
1A,Arab World,Other,2025,10,97809888,89985097,105634679,v1.2.0,optimistic
1A,Arab World,Other,2026,10,100016800,92015456,108018144,v1.2.0,optimistic
1A,Arab World,Other,2027,10,100016800,92015456,108018144,v1.2.0,optimistic
1A,Arab World,Other,2028,10,94392328,86840942,101943714,v1.2.0,optimistic
1A,Arab World,Other,2029,10,92216576,84839250,99593902,v1.2.0,optimistic
1A,Arab World,Other,2030,10,92216576,84839250,99593902,v1.2.0,optimistic
1A,Arab World,Other,2031,10,97739624,89920454,105558794,v1.2.0,optimistic
1A,Arab World,Other,2032,10,98524520,90642558,106406482,v1.2.0,optimistic
1A,Arab World,Other,2033,10,98524520,90642558,106406482,v1.2.0,optimistic
1A,Arab World,Other,2034,10,94322064,86776299,101867829,v1.2.0,optimistic
1A,Arab World,Other,2025,15,97809888,89985097,105634679,v1.2.0,optimistic
1A,Arab World,Other,2026,15,100016800,92015456,108018144,v1.2.0,optimistic
1A,Arab World,Other,2027,15,100016800,92015456,108018144,v1.2.0,optimistic
1A,Arab World,Other,2028,15,94392328,86840942,101943714,v1.2.0,optimistic
1A,Arab World,Other,2029,15,92216576,84839250,99593902,v1.2.0,optimistic
1A,Arab World,Other,2030,15,92216576,84839250,99593902,v1.2.0,optimistic
1A,Arab World,Other,2031,15,97739624,89920454,105558794,v1.2.0,optimistic
1A,Arab World,Other,2032,15,98524520,90642558,106406482,v1.2.0,optimistic
1A,Arab World,Other,2033,15,98524520,90642558,106406482,v1.2.0,optimistic
1A,Arab World,Other,2034,15,94322064,86776299,101867829,v1.2.0,optimistic
1A,Arab World,Other,2035,15,92216576,84839250,99593902,v1.2.0,optimistic
1A,Arab World,Other,2036,15,92216576,84839250,99593902,v1.2.0,optimistic
1A,Arab World,Other,2037,15,97739624,89920454,105558794,v1.2.0,optimistic
1A,Arab World,Other,2038,15,98524520,90642558,106406482,v1.2.0,optimistic
1A,Arab World,Other,2039,15,98524520,90642558,106406482,v1.2.0,optimistic
1A,Arab World,Other,2025,5,97809888,89985097,105634679,v1.2.0,pessimistic
1A,Arab World,Other,2026,5,100016800,92015456,108018144,v1.2.0,pessimistic
1A,Arab World,Other,2027,5,99842080,91854714,107829446,v1.2.0,pessimistic
1A,Arab World,Other,2028,5,94217608,86680199,101755017,v1.2.0,pessimistic
1A,Arab World,Other,2029,5,92112120,84743150,99481090,v1.2.0,pessimistic
1A,Arab World,Other,2025,10,97809888,89985097,105634679,v1.2.0,pessimistic
1A,Arab World,Other,2026,10,100016800,92015456,108018144,v1.2.0,pessimistic
1A,Arab World,Other,2027,10,99842080,91854714,107829446,v1.2.0,pessimistic
1A,Arab World,Other,2028,10,94217608,86680199,101755017,v1.2.0,pessimistic
1A,Arab World,Other,2029,10,92112120,84743150,99481090,v1.2.0,pessimistic
1A,Arab World,Other,2030,10,92112120,84743150,99481090,v1.2.0,pessimistic
1A,Arab World,Other,2031,10,97635168,89824355,105445981,v1.2.0,pessimistic
1A,Arab World,Other,2032,10,98420064,90546459,106293669,v1.2.0,pessimistic
1A,Arab World,Other,2033,10,98420064,90546459,106293669,v1.2.0,pessimistic
1A,Arab World,Other,2034,10,94217608,86680199,101755017,v1.2.0,pessimistic
1A,Arab World,Other,2025,15,97809888,89985097,105634679,v1.2.0,pessimistic
1A,Arab World,Other,2026,15,100016800,92015456,108018144,v1.2.0,pessimistic
1A,Arab World,Other,2027,15,99842080,91854714,107829446,v1.2.0,pessimistic
1A,Arab World,Other,2028,15,94217608,86680199,101755017,v1.2.0,pessimistic
1A,Arab World,Other,2029,15,92112120,84743150,99481090,v1.2.0,pessimistic
1A,Arab World,Other,2030,15,92112120,84743150,99481090,v1.2.0,pessimistic
1A,Arab World,Other,2031,15,97635168,89824355,105445981,v1.2.0,pessimistic
1A,Arab World,Other,2032,15,98420064,90546459,106293669,v1.2.0,pessimistic
1A,Arab World,Other,2033,15,98420064,90546459,106293669,v1.2.0,pessimistic
1A,Arab World,Other,2034,15,94217608,86680199,101755017,v1.2.0,pessimistic
1A,Arab World,Other,2035,15,92112120,84743150,99481090,v1.2.0,pessimistic
1A,Arab World,Other,2036,15,92112120,84743150,99481090,v1.2.0,pessimistic
1A,Arab World,Other,2037,15,97635168,89824355,105445981,v1.2.0,pessimistic
1A,Arab World,Other,2038,15,98420064,90546459,106293669,v1.2.0,pessimistic
1A,Arab World,Other,2039,15,98420064,90546459,106293669,v1.2.0,pessimistic
1W,World,Other,2025,5,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2026,5,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2027,5,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2028,5,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2029,5,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2025,10,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2026,10,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2027,10,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2028,10,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2029,10,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2030,10,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2031,10,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2032,10,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2033,10,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2034,10,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2025,15,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2026,15,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2027,15,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2028,15,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2029,15,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2030,15,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2031,15,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2032,15,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2033,15,1087883264,1000852603,1174913925,v1.2.0,baseline
1W,World,Other,2034,15,1087883264,1000852603,1174913925,v1.2.0,baseline
